id,signature,count
2677,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Back|type=Recovery,1
2678,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Midfield|technique=Through Ball|through_ball=True,1
2679,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Midfield|type=Interception,1
2680,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Defensive Midfield|type=Interception,1
2681,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Midfield|type=Recovery,1
2682,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Attacking Midfield|type=Interception,1
2683,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Attacking Midfield|type=Recovery,1
2684,Pass|aerial_won=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Back|type=Recovery,1
2685,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Center Forward,1
2686,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Center Forward|type=Interception,1
2687,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Goalkeeper|type=Recovery,1
2688,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Back|type=Recovery,1
2689,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Center Forward,1
2690,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Center Forward|type=Recovery,1
2691,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Center Midfield,1
2692,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Wing,1
2693,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Wing Back|type=Recovery,1
2694,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Left Wing|type=Interception,1
2695,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Right Back|type=Interception,1
2696,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Right Center Back|type=Interception,1
2697,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Right Wing Back,1
2698,Pass|aerial_won=True|height=Low Pass|outcome=Out|recipient_position=Right Wing Back|type=Recovery,1
2699,Pass|aerial_won=True|height=Low Pass|outcome=Pass Offside|recipient_position=Center Forward,1
2700,Pass|aerial_won=True|height=Low Pass|outcome=Pass Offside|recipient_position=Left Wing|type=Recovery,1
2701,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|recipient_position=Center Attacking Midfield|type=Recovery,1
2702,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|recipient_position=Center Forward|type=Recovery,1
2703,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|recipient_position=Left Center Midfield|type=Recovery,1
2704,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|recipient_position=Left Midfield|type=Recovery,1
2705,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|recipient_position=Right Wing|type=Recovery,1
2706,Pass|aerial_won=True|height=Low Pass|outcome=Unknown|type=Recovery,1
2707,Pass|aerial_won=True|height=Low Pass|recipient_position=Center Attacking Midfield|shot_assist=True,1
2708,Pass|aerial_won=True|height=Low Pass|recipient_position=Center Defensive Midfield|type=Interception,1
2709,Pass|aerial_won=True|height=Low Pass|recipient_position=Center Forward|type=Interception,1
2710,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Attacking Midfield|type=Recovery,1
2711,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Back|shot_assist=True,1
2712,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Back|type=Interception,1
2713,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Center Back|type=Interception,1
2714,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Defensive Midfield|shot_assist=True|type=Recovery,1
2715,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Midfield|shot_assist=True|type=Recovery,1
2716,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Midfield|type=Interception,1
2717,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Wing|shot_assist=True,1
2718,Pass|aerial_won=True|height=Low Pass|recipient_position=Left Wing|shot_assist=True|technique=Through Ball|through_ball=True,1
2719,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Back|type=Interception,1
2720,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Center Back|type=Interception,1
2721,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Center Midfield|shot_assist=True,1
2722,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Wing Back|type=Interception,1
2723,Pass|aerial_won=True|height=Low Pass|recipient_position=Right Wing|type=Interception,1
2724,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,1
2725,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Left Attacking Midfield,1
2726,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Left Center Midfield,1
2727,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Left Wing Back,1
2728,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Right Back,1
2729,Pass|body_part=Drop Kick|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,1
2730,Pass|body_part=Drop Kick|height=High Pass|outcome=Injury Clearance,1
2731,Pass|body_part=Drop Kick|height=High Pass|outcome=Unknown|recipient_position=Center Forward,1
2732,Pass|body_part=Drop Kick|height=High Pass|outcome=Unknown|recipient_position=Right Wing,1
2733,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Center Forward|shot_assist=True,1
2734,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Left Attacking Midfield,1
2735,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Left Center Forward,1
2736,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Right Attacking Midfield,1
2737,Pass|body_part=Drop Kick|height=High Pass|recipient_position=Right Back,1
2738,Pass|body_part=Drop Kick|height=Low Pass|recipient_position=Center Attacking Midfield|shot_assist=True,1
2739,Pass|body_part=Drop Kick|height=Low Pass|recipient_position=Left Back,1
2740,Pass|body_part=Drop Kick|height=Low Pass|recipient_position=Left Center Midfield,1
2741,Pass|body_part=Head|cross=True|height=High Pass|outcome=Incomplete|type=Recovery,1
2742,Pass|body_part=Head|cross=True|height=High Pass|recipient_position=Center Forward,1
2743,Pass|body_part=Head|cross=True|height=High Pass|recipient_position=Left Wing,1
2744,Pass|body_part=Head|cross=True|height=High Pass|recipient_position=Right Center Back,1
2745,Pass|body_part=Head|cross=True|height=High Pass|recipient_position=Right Wing|shot_assist=True|technique=Through Ball|through_ball=True,1
2746,Pass|body_part=Head|cross=True|height=Low Pass|outcome=Incomplete,1
2747,Pass|body_part=Head|cross=True|height=Low Pass|outcome=Incomplete|recipient_position=Left Center Forward,1
2748,Pass|body_part=Head|cross=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Wing,1
2749,Pass|body_part=Head|cross=True|height=Low Pass|recipient_position=Left Center Midfield,1
2750,Pass|body_part=Head|cut_back=True|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield,1
2751,Pass|body_part=Head|cut_back=True|height=Low Pass|recipient_position=Left Wing|shot_assist=True,1
2752,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Center Defensive Midfield,1
2753,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Center Defensive Midfield|type=Interception,1
2754,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Center Midfield|type=Interception,1
2755,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield|type=Interception,1
2756,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Center Back,1
2757,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Center Back|type=Interception,1
2758,Pass|body_part=Head|height=High Pass|outcome=Incomplete|recipient_position=Right Center Back|type=Recovery,1
2759,Pass|body_part=Head|height=High Pass|outcome=Incomplete|switch=True,1
2760,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Center Attacking Midfield|type=Recovery,1
2761,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Center Forward|type=Recovery,1
2762,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Attacking Midfield,1
2763,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Back|type=Recovery,1
2764,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Center Forward,1
2765,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Center Forward|type=Recovery,1
2766,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Center Midfield,1
2767,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Wing,1
2768,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Left Wing Back|type=Recovery,1
2769,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Back,1
2770,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Center Back,1
2771,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Center Forward,1
2772,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Center Forward|type=Interception,1
2773,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Center Forward|type=Recovery,1
2774,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Defensive Midfield|type=Recovery,1
2775,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Midfield,1
2776,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Midfield|type=Interception,1
2777,Pass|body_part=Head|height=High Pass|outcome=Out|recipient_position=Right Wing Back,1
2778,Pass|body_part=Head|height=High Pass|outcome=Pass Offside|recipient_position=Left Back|type=Recovery,1
2779,Pass|body_part=Head|height=High Pass|outcome=Pass Offside|recipient_position=Left Wing,1
2780,Pass|body_part=Head|height=High Pass|outcome=Pass Offside|recipient_position=Right Center Forward,1
2781,Pass|body_part=Head|height=High Pass|outcome=Pass Offside|recipient_position=Right Defensive Midfield|type=Recovery,1
2782,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Center Attacking Midfield,1
2783,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Left Attacking Midfield,1
2784,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Left Center Back|type=Recovery,1
2785,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Left Wing|type=Recovery,1
2786,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Center Forward,1
2787,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Center Midfield,1
2788,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Center Midfield|type=Recovery,1
2789,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Wing,1
2790,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Wing Back,1
2791,Pass|body_part=Head|height=High Pass|outcome=Unknown|recipient_position=Right Wing|type=Interception,1
2792,Pass|body_part=Head|height=High Pass|recipient_position=Center Attacking Midfield|shot_assist=True,1
2793,Pass|body_part=Head|height=High Pass|recipient_position=Center Attacking Midfield|shot_assist=True|type=Recovery,1
2794,Pass|body_part=Head|height=High Pass|recipient_position=Center Back|type=Interception,1
2795,Pass|body_part=Head|height=High Pass|recipient_position=Center Defensive Midfield|shot_assist=True|type=Recovery,1
2796,Pass|body_part=Head|height=High Pass|recipient_position=Left Center Midfield|shot_assist=True,1
2797,Pass|body_part=Head|height=High Pass|recipient_position=Left Center Midfield|shot_assist=True|type=Recovery,1
2798,Pass|body_part=Head|height=High Pass|recipient_position=Left Defensive Midfield|shot_assist=True,1
2799,Pass|body_part=Head|height=High Pass|recipient_position=Left Wing Back|shot_assist=True,1
2800,Pass|body_part=Head|height=High Pass|recipient_position=Left Wing|shot_assist=True,1
2801,Pass|body_part=Head|height=High Pass|recipient_position=Right Back|shot_assist=True,1
2802,Pass|body_part=Head|height=High Pass|recipient_position=Right Center Back|shot_assist=True,1
2803,Pass|body_part=Head|height=High Pass|recipient_position=Right Center Back|shot_assist=True|type=Recovery,1
2804,Pass|body_part=Head|height=High Pass|recipient_position=Right Center Forward|shot_assist=True,1
2805,Pass|body_part=Head|height=High Pass|recipient_position=Right Midfield,1
2806,Pass|body_part=Head|height=High Pass|recipient_position=Right Midfield|shot_assist=True,1
2807,Pass|body_part=Head|height=High Pass|recipient_position=Right Wing|shot_assist=True|type=Recovery,1
2808,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield|type=Interception,1
2809,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Center Back|type=Recovery,1
2810,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Center Defensive Midfield|type=Interception,1
2811,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Attacking Midfield|type=Recovery,1
2812,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Left Wing Back|type=Recovery,1
2813,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Back|type=Recovery,1
2814,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Interception,1
2815,Pass|body_part=Head|height=Low Pass|outcome=Incomplete|recipient_position=Right Midfield|type=Interception,1
2816,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Left Attacking Midfield|type=Recovery,1
2817,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Left Center Midfield|type=Recovery,1
2818,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Left Defensive Midfield,1
2819,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Left Wing,1
2820,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Attacking Midfield,1
2821,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Back|type=Recovery,1
2822,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Center Back,1
2823,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Center Midfield,1
2824,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Center Midfield|type=Interception,1
2825,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Defensive Midfield|type=Recovery,1
2826,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Midfield,1
2827,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Wing Back,1
2828,Pass|body_part=Head|height=Low Pass|outcome=Out|recipient_position=Right Wing|type=Interception,1
2829,Pass|body_part=Head|height=Low Pass|outcome=Out|switch=True,1
2830,Pass|body_part=Head|height=Low Pass|outcome=Out|type=Interception,1
2831,Pass|body_part=Head|height=Low Pass|outcome=Pass Offside|recipient_position=Left Wing,1
2832,Pass|body_part=Head|height=Low Pass|outcome=Pass Offside|recipient_position=Left Wing|technique=Through Ball|through_ball=True,1
2833,Pass|body_part=Head|height=Low Pass|outcome=Unknown,1
2834,Pass|body_part=Head|height=Low Pass|outcome=Unknown|recipient_position=Center Forward|type=Recovery,1
2835,Pass|body_part=Head|height=Low Pass|outcome=Unknown|recipient_position=Right Center Forward|type=Interception,1
2836,Pass|body_part=Head|height=Low Pass|recipient_position=Center Attacking Midfield|shot_assist=True,1
2837,Pass|body_part=Head|height=Low Pass|recipient_position=Center Forward|shot_assist=True|type=Recovery,1
2838,Pass|body_part=Head|height=Low Pass|recipient_position=Left Center Forward|shot_assist=True|type=Recovery,1
2839,Pass|body_part=Head|height=Low Pass|recipient_position=Right Attacking Midfield|shot_assist=True,1
2840,Pass|body_part=Head|height=Low Pass|recipient_position=Right Center Forward|shot_assist=True,1
2841,Pass|body_part=Head|height=Low Pass|recipient_position=Right Defensive Midfield|shot_assist=True,1
2842,Pass|body_part=Head|height=Low Pass|recipient_position=Right Midfield,1
2843,Pass|body_part=Head|height=Low Pass|recipient_position=Right Midfield|shot_assist=True|type=Recovery,1
2844,Pass|body_part=Head|height=Low Pass|recipient_position=Right Wing|shot_assist=True,1
2845,Pass|body_part=Keeper Arm|height=Ground Pass|outcome=Incomplete,1
2846,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Left Attacking Midfield,1
2847,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Right Back|switch=True,1
2848,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Right Midfield,1
2849,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Right Wing,1
2850,Pass|body_part=Keeper Arm|height=Ground Pass|recipient_position=Right Wing Back|switch=True,1
2851,Pass|body_part=Keeper Arm|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back,1
2852,Pass|body_part=Keeper Arm|height=High Pass|outcome=Incomplete|recipient_position=Left Wing,1
2853,Pass|body_part=Keeper Arm|height=High Pass|outcome=Incomplete|recipient_position=Left Wing Back,1
2854,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Center Attacking Midfield,1
2855,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Center Back,1
2856,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Left Center Back,1
2857,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Left Center Forward,1
2858,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Left Wing Back|switch=True,1
2859,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Right Back|switch=True,1
2860,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Right Wing,1
2861,Pass|body_part=Keeper Arm|height=High Pass|recipient_position=Right Wing|switch=True,1
2862,Pass|body_part=Keeper Arm|height=Low Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,1
2863,Pass|body_part=Keeper Arm|height=Low Pass|outcome=Incomplete|recipient_position=Right Wing,1
2864,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Center Attacking Midfield,1
2865,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Left Back|switch=True,1
2866,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Left Wing Back|switch=True,1
2867,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Right Defensive Midfield,1
2868,Pass|body_part=Keeper Arm|height=Low Pass|recipient_position=Right Wing,1
2869,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Ground Pass|recipient_position=Center Attacking Midfield,1
2870,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Ground Pass|recipient_position=Left Attacking Midfield,1
2871,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Ground Pass|recipient_position=Left Center Midfield,1
2872,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Ground Pass|recipient_position=Right Center Midfield,1
2873,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Ground Pass|recipient_position=Right Midfield,1
2874,Pass|body_part=Left Foot|cross=True|cut_back=True|goal_assist=True|height=Low Pass|recipient_position=Left Wing,1
2875,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Center Forward,1
2876,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Defensive Midfield,1
2877,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Wing,1
2878,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Attacking Midfield,1
2879,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Midfield,1
2880,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,1
2881,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Wing,1
2882,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Center Attacking Midfield,1
2883,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Center Forward|shot_assist=True,1
2884,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Left Center Forward|shot_assist=True,1
2885,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Left Defensive Midfield|shot_assist=True,1
2886,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Right Back|shot_assist=True,1
2887,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Ground Pass|recipient_position=Right Wing,1
2888,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Back|type=Recovery,1
2889,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Wing,1
2890,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|outcome=Incomplete|recipient_position=Right Wing Back,1
2891,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|recipient_position=Center Attacking Midfield,1
2892,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|recipient_position=Left Back|shot_assist=True,1
2893,Pass|body_part=Left Foot|cross=True|cut_back=True|height=Low Pass|recipient_position=Right Wing|shot_assist=True,1
2894,Pass|body_part=Left Foot|cross=True|deflected=True|height=Low Pass|recipient_position=Right Back|type=Free Kick,1
2895,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=Ground Pass|recipient_position=Center Attacking Midfield|technique=Through Ball|through_ball=True,1
2896,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Center Forward,1
2897,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Center Forward|type=Free Kick,1
2898,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Left Center Back,1
2899,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Left Center Back|type=Free Kick,1
2900,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Back,1
2901,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Center Midfield,1
2902,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Defensive Midfield,1
2903,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Midfield,1
2904,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Wing Back,1
2905,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=High Pass|recipient_position=Right Wing|type=Free Kick,1
2906,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=Low Pass|recipient_position=Right Center Back,1
2907,Pass|body_part=Left Foot|cross=True|goal_assist=True|height=Low Pass|recipient_position=Right Wing,1
2908,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Center Forward|technique=Through Ball|through_ball=True,1
2909,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Center Back,1
2910,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Left Midfield,1
2911,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Forward|type=Recovery,1
2912,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Center Midfield|type=Recovery,1
2913,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,1
2914,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Incomplete|recipient_position=Right Wing Back,1
2915,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Out|recipient_position=Left Center Midfield|switch=True,1
2916,Pass|body_part=Left Foot|cross=True|height=Ground Pass|outcome=Out|switch=True,1
2917,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Center Defensive Midfield|shot_assist=True,1
2918,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Attacking Midfield,1
2919,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Center Back|shot_assist=True,1
2920,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Center Forward,1
2921,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Center Midfield,1
2922,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Center Midfield|shot_assist=True,1
2923,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Wing Back,1
2924,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Left Wing|shot_assist=True,1
2925,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Attacking Midfield|type=Recovery,1
2926,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Back,1
2927,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Back|shot_assist=True,1
2928,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Center Forward,1
2929,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Center Forward|shot_assist=True,1
2930,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Center Midfield|shot_assist=True,1
2931,Pass|body_part=Left Foot|cross=True|height=Ground Pass|recipient_position=Right Defensive Midfield|shot_assist=True|type=Recovery,1
2932,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Center Attacking Midfield|switch=True,1
2933,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Center Back,1
2934,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Center Back|switch=True,1
2935,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Center Forward|type=Free Kick,1
2936,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Back|switch=True,1
2937,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Center Back|switch=True,1
2938,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Center Forward|type=Free Kick,1
2939,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield,1
2940,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Midfield|type=Free Kick,1
2941,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Wing|shot_assist=True,1
2942,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Left Wing|switch=True,1
2943,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Back|type=Free Kick,1
2944,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Center Back|type=Free Kick,1
2945,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Center Forward|switch=True,1
2946,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Defensive Midfield,1
2947,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Midfield|switch=True,1
2948,Pass|body_part=Left Foot|cross=True|height=High Pass|outcome=Incomplete|recipient_position=Right Wing Back|switch=True,1
